CodeClient,Civilite,Prenom,Nom,Adresse,CodePostal,Commune,DateNaissance,CreationClient,Email,Twitter,Facebook,Klout,Points,AppMobile,Magasin,Newsletter,ScoreBio,ScoreSoleil
126993,"Mme","CLEMENTINE","DUBOIS","25 RUE DE LA BONNE AVENTURE","78000","VERSAILLES",1978-04-19 00:00:00,2016-02-12 00:00:00,"DUBOIS@yahoo.fr","http://twitter.com/DUBOIS","",7.000000,17.000000,0.000000,"Montparnasse",0.000000,0.410000,0.630000
151529,"Mr","FREDERIQUE","ABREMONT","10 RUE DE LA BRIE","77450","MONTRY",1997-08-23 00:00:00,2016-02-24 00:00:00,"ABREMONT@yahoo.fr","http://twitter.com/ABREMONT","ABREMONT@facebook.fr",40.000000,53.000000,0.000000,"Montparnasse",0.000000,0.440000,0.970000
214674,"Mme","STELLA","SADOSKY","88 RUE DES POMMIERS","37300","JOUE LES TOURS",1998-02-22 00:00:00,2015-11-08 00:00:00,"STELLA.SADOSKY@icloud.com","http://twitter.com/STELLA.SADOSKY","",3.000000,12.000000,0.000000,"Montparnasse",0.000000,0.490000,0.410000
318696,"Mme","CECILE","BOYER","112 RUE ROBESPIERRE","59174","LA SENTINELLE",1993-04-23 00:00:00,2015-05-24 00:00:00,"Cecile.BOYER@icloud.com","","BOYER@facebook.fr",9.000000,149.000000,0.000000,"Montparnasse",0.000000,0.450000,0.130000
438711,"Mme","LILIANE","HEURTAUX","2273 ROUTE D AUDRUICQ","62370","ST FOLQUIN",1996-08-14 00:00:00,2016-09-03 00:00:00,"Liliane.HEURTAUX@gmail.com","","HEURTAUX@facebook.fr",19.000000,81.000000,0.000000,"Montparnasse",0.000000,0.920000,0.760000
445102,"Mr","JEAN","RAUWEL","FERME DE LA PLACE AUX PUITS","51530","ST MARTIN D ABLOIS",1990-12-01 00:00:00,2015-09-09 00:00:00,"Jean_RAUWEL@outlook.fr","http://twitter.com/RAUWEL","",8.000000,65.000000,0.000000,"Montparnasse",0.000000,0.590000,0.870000
495501,"Mme","MARYSE","VALET","15 PLACE DES 2 CONILS","24100","BERGERAC",1983-12-03 00:00:00,2016-11-26 00:00:00,"VALET@yahoo.fr","http://twitter.com/Maryse.VALET","VALET@facebook.fr",15.000000,73.000000,0.000000,"Montparnasse",0.000000,0.730000,0.260000
918238,"Mme","KARINE","PINQUIER","5 RUE DES 3 DUGOIS","90300","VALDOIE",1972-02-13 00:00:00,2016-02-12 00:00:00,"KARINE.PINQUIER@gmail.com","http://twitter.com/PINQUIER","PINQUIER@facebook.fr",1.000000,55.000000,0.000000,"Montparnasse",0.000000,0.940000,0.450000
947752,"Mr","FREDERIC","BENOUMESSAD","15 RUE DE LA PARFUMERIE","92600","ASNIERES SUR SEINE",1993-02-08 00:00:00,2015-10-03 00:00:00,"BENOUMESSAD@yahoo.fr","http://twitter.com/Frederic.BENOUMESSAD","BENOUMESSAD@facebook.fr",39.000000,19.000000,0.000000,"Montparnasse",0.000000,0.440000,0.440000
966788,"Mme","LYDIE","NGUYEN","15 RUE DES 3 DUGOIS","67670","MOMMENHEIM",1991-01-27 00:00:00,2016-10-09 00:00:00,"LYDIE.NGUYEN@free.fr","http://twitter.com/LYDIE.NGUYEN","LYDIE.NGUYEN@facebook.com",16.000000,29.000000,0.000000,"Montparnasse",0.000000,0.310000,0.270000
1090522,"Mme","MARIE JOSEE","GAUTHIER","7 ROUTE DE CANTEPIE","76330","NORVILLE",1980-01-11 00:00:00,2016-11-02 00:00:00,"Marie Josee.GAUTHIER@icloud.com","http://twitter.com/GAUTHIER","GAUTHIER@facebook.fr",4.000000,174.000000,0.000000,"Wagram",0.000000,0.880000,0.940000
1312145,"Mme","BERNADETTE","PROTHIN","6 RUE DU 5 FEVRIER","68230","WALBACH",1981-12-30 00:00:00,2016-03-19 00:00:00,"BERNADETTE.PROTHIN@free.fr","","PROTHIN@facebook.fr",61.000000,50.000000,0.000000,"Montparnasse",0.000000,0.810000,0.700000
1315018,"Mme","VINCENT","DESMONT","31 RUE ERNEST THIERRY MIEG","90000","BELFORT",1977-09-10 00:00:00,2016-12-20 00:00:00,"Vincent.DESMONT@gmail.com","","",19.000000,38.000000,0.000000,"Montparnasse",1.000000,0.770000,0.010000
1419162,"Mme","MARIE","GUILLAUT MEYER","40 RUE DES CHARMES","86580","BIARD",1991-10-24 00:00:00,2016-03-31 00:00:00,"Marie.GUILLAUT MEYER@free.fr","","GUILLAUT MEYER@facebook.fr",61.000000,20.000000,0.000000,"Montparnasse",0.000000,0.890000,0.460000
1419451,"Mme","HENRIETTE","JURY","327 AVENUE DU GENERAL LECLERC","6140","VENCE",1970-06-23 00:00:00,2015-08-16 00:00:00,"Henriette.JURY@free.fr","http://twitter.com/JURY","",188.000000,106.000000,0.000000,"Montparnasse",0.000000,0.990000,0.860000
1419459,"Mme","BEATRICE","PERSYN","6 RUE ANATOLE FRANCE","94270","LE KREMLIN BICETRE",1993-02-15 00:00:00,2015-06-29 00:00:00,"PERSYN@yahoo.fr","http://twitter.com/PERSYN","",20.000000,37.000000,0.000000,"Montparnasse",0.000000,0.700000,0.550000
1470727,"Mme","KANLE","ROUAULT","56 RUE PROUDHON","63000","CLERMONT FERRAND",1996-02-09 00:00:00,2015-04-18 00:00:00,"Kanle.ROUAULT@gmail.com","","",2.000000,155.000000,0.000000,"Montparnasse",0.000000,0.730000,0.680000
1470729,"Mme","ISABELLE","MARSEILLE","27 RUE DACOSSE","59495","LEFFRINCKOUCKE",1995-05-10 00:00:00,2015-06-17 00:00:00,"Isabelle.MARSEILLE@gmail.com","","MARSEILLE@facebook.fr",52.000000,46.000000,0.000000,"Montparnasse",0.000000,0.820000,0.810000
1470754,"Mme","REGINE","LOSSEL","20 RUE DU SERGENT BOBILLOT","54000","NANCY",1978-12-11 00:00:00,2016-09-27 00:00:00,"LOSSEL@yahoo.fr","http://twitter.com/Regine.LOSSEL","LOSSEL@facebook.fr",61.000000,15.000000,0.000000,"Montparnasse",0.000000,0.100000,0.210000
1470850,"Mlle","MARIE JOSE","THIBAULT","57 RUE D ALGER","62100","CALAIS",1988-05-29 00:00:00,2015-03-13 00:00:00,"Marie Jose.THIBAULT@icloud.com","http://twitter.com/THIBAULT","",36.000000,26.000000,0.000000,"Montparnasse",0.000000,0.150000,0.360000
1470868,"Mr","YVAN","VERNY","15 ROUTE DES COMBES","74400","CHAMONIX MONT BLANC",1977-04-19 00:00:00,2016-07-05 00:00:00,"VERNY@yahoo.fr","","VERNY@facebook.fr",2.000000,1.000000,0.000000,"Montparnasse",1.000000,0.350000,0.020000
1484775,"Mme","SIMONE","RICHARD","LIEU DIT PAPON","3120","LAPALISSE",1993-03-11 00:00:00,2016-07-29 00:00:00,"Simone.RICHARD@gmail.com","http://twitter.com/Simone.RICHARD","RICHARD@facebook.fr",19.000000,97.000000,0.000000,"Montparnasse",0.000000,0.980000,0.660000
1484998,"Mlle","VERONIQUE","BROSSET","7 RUE EMILE ALLIER","30000","NIMES",1992-03-20 00:00:00,2015-08-28 00:00:00,"BROSSET@yahoo.fr","","",18.000000,26.000000,0.000000,"Wagram",0.000000,0.280000,0.920000
1485003,"Mme","GWENAELLE","TAMARELLE","53 RUE CONDORCET","59950","AUBY",1969-02-16 00:00:00,2015-04-30 00:00:00,"TAMARELLE@yahoo.fr","http://twitter.com/TAMARELLE","TAMARELLE@facebook.fr",6.000000,62.000000,0.000000,"Montparnasse",0.000000,0.050000,0.810000
1542405,"Mme","CHARLOTTE","SERGHERAERT","36 IMPASSE LES LILAS","80650","VIGNACOURT",1994-02-06 00:00:00,2015-03-01 00:00:00,"Charlotte.SERGHERAERT@icloud.com","http://twitter.com/SERGHERAERT","",45.000000,108.000000,0.000000,"Montparnasse",0.000000,0.300000,0.550000
1560817,"Mme","SANDRINE","TINGAUD","15 RUE DE DASLE","25400","AUDINCOURT",1988-06-23 00:00:00,2016-11-14 00:00:00,"TINGAUD@yahoo.fr","http://twitter.com/TINGAUD","TINGAUD@facebook.fr",2.000000,174.000000,0.000000,"Montparnasse",0.000000,0.450000,0.110000
1568148,"Mme","MADELEINE","CHALLON","29D ROUTE DES AGRIONS","7130","SOYONS",1987-09-04 00:00:00,2016-01-07 00:00:00,"CHALLON@yahoo.fr","http://twitter.com/CHALLON","Madeleine.CHALLON@facebook.com",13.000000,67.000000,0.000000,"Montparnasse",0.000000,0.210000,0.660000
1612254,"Mme","NICOLE","CHAMBRAUD","3 RUE CLEMENCEAU","54550","MAIZIERES",1976-03-25 00:00:00,2016-05-18 00:00:00,"CHAMBRAUD@yahoo.fr","","",38.000000,65.000000,0.000000,"Montparnasse",0.000000,0.410000,0.920000
1615577,"Mme","TIJANI","RAVON","13 IMPASSE EDITH PIAF","42153","RIORGES",1990-03-10 00:00:00,2016-01-07 00:00:00,"Tijani.RAVON@gmail.com","","",121.000000,40.000000,0.000000,"Montparnasse",0.000000,0.590000,0.040000
